T1 P1 D3.175000 Z+91.538152 ;2+2f end mill70.789 
T2 P2 D20.000000 Z+67.963819 ;20x28mm 1+1f pkd endmill 118.22!!!! 
T3 P3 D2.500000 Z+87.728819 ;2.5mm drill 
T4 P4 D6.000000 Z+105.695819 ;6mm 2f chamfer 45deg 
T5 P5 D7.960000 Z+81.059319 ;2+2f carbide endmill 
T6 P6 D6.000000 Z+68.576486 ;6mm ball end mill 
T7 P7 D5.000000 Z+119.860986 ;5mm carbide drill 
T8 P8 D4.000000 Z+69.661319 ;4mm 1f carbide added 20180604 
T9 P9 D10.000000 Z+95.957652 ;1+1f  carbide 
T10 P10 D3.175000 Z+200.000000 ;2+2 compr eighth inch 
T12 P12 D10.000000 Z+200.000000 ;2f neg wood added 20190430 
T100 P100 D12.000000 Z+135.467486 ;temp tool misc 
T43 P43 D10.000000 Z+94.070100 ;2f neg wood added 20190430 
T901 P901 D77.000000 Z+120.202000 ;80mm edge sand soft satin p240 
T13 P13 D3.175000 Z+200.000000 ;3.175 carbide added 20160706 
T44 P44 D12.700000 Z+129.725000 ;76mm loc 2f carbide wood 
T15 P15 D5.000000 Z+200.000000 ;2f carbide drill added 20160720 
T40 P40 D10.000000 Z+85.291800 ;10x1 thread mill added 20170328 
T22 P22 D8.500000 ;8.5mm 3f carbide doc19 fl29 added 20170412 
T14 P14 D6.000000 Z+200.000000 ;spot drill 6mm added 20170503 
T11 P11 D4.000000 Z+135.364486 ;4mm downcut 2f mill added 20170526 
T25 P25 D3.000000 ;3mm drill added 20170609 
T26 P26 D6.000000 ;6mm 2f carbide wood added 20170611 
T33 P33 D26.000000 Z+125.634000 ;26mm 2f hss added 20180315 
T51 P51 D6.800000 ;6.8mm drill added 20180317 
T50 P50 D6.000000 Z+133.993000 ;6.00mm drill added 20180409 
T52 P52 D11.150000 Z+131.670000 ;2f rougher added 20180420 
T32 P32 D1.200000 Z+65.329700 ;1.2mm 2f carbide added 20180504 
T1001 P1001 D10.000000 X+141.280000 Y-252.000000 Z+999.000000 ;hor x+ added 20180509 
T2002 P2002 D10.000000 X+273.325000 Y-121.746000 Z+94.816600 ;hor y- added 20180509 
T3001 P3001 D10.000000 X+403.707000 Y-252.000000 Z+999.000000 ;hor x- added 20180509 
T4001 P4001 D10.000000 X+272.400000 Y-384.000000 Z+999.000000 ;hor y+ added 20180509 
T34 P34 D2.000000 Z+92.643600 ;1f carbide end mill added 20180523 
T55 P55 D12.700000 Z+96.731100 ;r16 roundover 2f added 20180529 
T24 P24 D5.000000 Z+120.421000 ;5mm drill wood added 20180724 
T35 P35 D9.100000 Z+117.912000 ;9.1mm 3+3f end mill wood added 20180724 
T5001 P5001 D3.000000 X+253.065000 Y+88.650000 Z+96.300000 ;saw aggregate d150 3mm x 
T6002 P6002 D3.000000 X+333.000000 Y+8.830600 Z+96.300000 ;saw aggregate d150 3mm y 
T5003 P5003 D1.500000 X+253.065000 Y+88.650000 Z+96.300000 ;saw aggregate d150 1.5mm x 
T6004 P6004 D1.500000 X+333.000000 Y+8.830600 Z+96.300000 ;saw aggregate d150 1.5mm y 
T36 P36 D6.000000 Z+112.446000 ;6mm composites end mill added 20181014 
T4002 P4002 D5.000000 X+276.222000 Y-380.833000 Z+95.005000 ;hor y+ (from front) d5 drill 
T41 P41 D10.000000 Z+102.340000 ;10mm 4f hss wood added 20181220 
T56 P56 D15.000000 Z+97.230100 ;15mm wood drill added 20190113 
T1002 P1002 D5.000000 X+145.317000 Y-251.365000 Z+95.433800 ;hor x+ added 20190121 
T3002 P3002 D5.000000 X+403.707000 Y-249.795000 Z+94.557000 ;hor x- added 20190121 
T57 P57 D12.200000 Z+76.471900 ;lefthand! mcd radius form mill added 20190121 
T58 P58 D12.700000 Z+70.786300 ;14deg dovetail added 20190307 
T38 P38 D95.000000 Z+113.131000 ;15 deg chamfer adj face mill added 20190427 
T60 P60 D46.700000 Z+125.975000 ;sanding cyl custom p60 added 20190427 
T204 P204 D1.700000 Z+122.809000 ;drill added 20190625 
T45 P45 D56.700000 Z+93.594400 ;2f planer added 20190913 
